feature,perm_importance_mean,perm_importance_std
cat__payment_method_COD,0.06690237127130325,0.009409483187018878
num__price_inr,0.010264708322960697,0.006201499346591557
num__num_previous_returns,0.007291036902687342,0.0024719961710633455
cat__payment_method_Prepaid_UPI,0.005947737986572871,0.005175183863182343
cat__product_category_Home,0.00396983455235877,0.0017164905393478329
cat__product_category_Apparel,0.0009910262337446186,0.0029329490136107295
num__delivery_days,0.0004542203571329395,0.0031735201685201475
cat__payment_method_Wallet,0.00033034207791482473,0.0009330236970817393
cat__product_category_Electronics,0.000309004192499307,0.0024600744363010825
cat__product_category_Beauty,-0.0005468821002802049,0.0015824773997551388
cat__product_category_Footwear,-0.0010913933244030894,0.0014988434134647996
num__num_previous_orders,-0.0011091748955827153,0.0021340047998708307
num__is_weekend_order,-0.001116287524054571,0.0006565009640685788
cat__payment_method_Prepaid_Card,-0.001890378589407743,0.005160396424104758
num__delivery_distance_km,-0.0023661344049693777,0.0021905758834959367
num__rating_given,-0.002425208735888429,0.002178806980281042
num__discount_pct,-0.0028744897676937333,0.0024783874006385426
num__customer_tenure_days,-0.004592979835698357,0.002442580154843512
